data_resource_uid	dcterms:license	institutionCode	collectionCode	datasetName	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	sex	reproductiveCondition	establishmentMeans	occurrenceStatus	occurrenceRemarks	eventID	eventDate	year	month	samplingProtocol	locationID	country	countryCode	stateProvince	locality	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	georeference_verification_status	identificationQualifier	typeStatus	identifiedBy	dateIdentified	taxonConceptID	scientificName	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	taxonRank	vernacularName	species	verbatimIdentificationQualifier	recordID	dcterms:accessRights	verbatimBasisOfRecord	Temperature - annual max mean	Temperature - annual min mean	Temperature - annual range	Precipitation - annual mean	Radiation - annual mean (Bio20)	Elevation 	Enhanced Vegetation Index (2012-03-05)	Moisture Index - annual mean (Bio28)	Nutrient status	Ph - soil
drt25826				Koalas										present								Australia		New South Wales							-34.133587	150.79399		-34.133587	150.79399			Not provided																		ffa5f91c-7c2f-48dd-8c20-5cb3c8c95fec			21.799168	10.109167	23.0	70.91934	16.9	149.0	0.3638	0.62	1.55	4.0
drt25826				Koalas										present								Australia		New South Wales							-28.3877489	153.5580894		-28.3877489	153.5580894			Not provided																		ff9bf80f-ed78-4ab5-b383-39cebac540df			24.243334	14.791667	19.98172	149.8211	16.7	9.0	0.2319	0.92	1.6	
drt25826				Koalas										present								Australia		New South Wales							-30.9769444	150.2516667		-30.9769444	150.2516667			Not provided																		ff8326fa-dd44-4f64-9199-fe539ffa6be1			24.8975	10.745	28.530518	49.10643	18.4	256.0	0.3087	0.36	1.6	6.0
drt25826				Koalas										present								Australia		Victoria							-38.616667	146.666667		-38.616667	146.666667			Not provided																		fc81396c-3a62-4190-b01f-5af528fd6c57			18.3075	9.4125	18.800018	67.25742	15.1	11.0	0.408	0.67	1.4	4.0
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		fc4d78b5-022f-4ca1-99e9-cb345eab0229			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		Queensland							-25.832851	152.541594		-25.832851	152.541594			Not provided																		fc36965b-3e8a-42ab-a0b9-8d4c4e791fca			26.51	14.286667	22.38324	78.91432	18.4	27.0	0.5018	0.57	1.25	4.0
drt25826				Koalas										present								Australia		New South Wales							-36.1873326195473	149.350302958693		-36.1873326195473	149.350302958693			Not provided																		fb1a3b9a-ae3c-4d9e-830d-1ab8d5bf4c20			18.121666	4.5916667	25.557892	50.767757	16.9	739.0	0.4522	0.46	1.4	5.0
drt25826				Koalas										present								Australia		New South Wales							-34.4615077	150.5198741		-34.4615077	150.5198741			Not provided																		faafcbe3-d150-442e-a8ae-a6710ef26762			18.943333	7.9425	23.200012	82.26259	16.6	528.0	0.3358	0.72	1.0	4.0
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		fa39becd-7bd0-4b31-ac9e-0d79c84ed711			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		New South Wales							-34.2673463	150.700622		-34.2673463	150.700622			Not provided																		f9c94274-3b8a-446a-990e-77cbcf1047fc			20.89	9.461667	22.179657	78.12152	16.7	256.0	0.3526	0.67	1.0	4.0
drt25826				Koalas										present								Australia		Victoria							-38.299535	146.7056325		-38.299535	146.7056325			Not provided																		f99f8887-0f8f-4a26-b691-7410d904bd64			17.973333	8.104167	19.909882	66.674484	15.0	160.0	0.354	0.75	2.0	4.0
drt25826				Koalas										present								Australia		New South Wales							-28.6041667	153.555		-28.6041667	153.555			Not provided																		f978ef95-a1f3-4a8a-aca6-e53cf36dda96			24.081667	14.9725	19.847778	149.45647	16.8	2.0	0.533	0.9	1.1	
drt25826				Koalas										present								Australia		Victoria							-38.283333	146.166667		-38.283333	146.166667			Not provided																		f90c2a96-7e31-4c2b-867f-8e618a8a6f2d			16.985	7.7491665	19.74707	85.1534	14.4	270.0	0.3571	0.84	2.0	4.0
drt25826				Koalas										present								Australia		New South Wales							-32.724646	152.075556		-32.724646	152.075556			Not provided																		f8dafdd6-c4be-4f5c-8959-726bd302fee5			22.3725	11.659166	20.800018	104.07801	16.7		0.3484	0.79	0.9	
drt25826				Koalas										present								Australia		New South Wales							-28.6644444	153.4525		-28.6644444	153.4525			Not provided																		f89c5c6c-3aa1-4c63-99bf-91bd15486d35			23.224167	13.679167	20.082794	155.69807	16.6	189.0	0.6009	0.92	1.8	4.0
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		f863fbd7-5bc6-427d-a3a6-1177e88294fa			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		New South Wales							-36.1873326195473	149.350302958693		-36.1873326195473	149.350302958693			Not provided																		f8526847-8e8f-484b-b723-535b2c8cee13			18.121666	4.5916667	25.557892	50.767757	16.9	739.0	0.4522	0.46	1.4	5.0
drt25826				Koalas										present								Australia		New South Wales							-30.9855488893933	150.243011995726		-30.9855488893933	150.243011995726			Not provided																		f781e773-4eb3-48fa-ace0-5f77644837af			24.75	10.659166	29.399994	49.778355	18.4	264.0	0.3308	0.37	1.7	6.0
drt25826				Koalas										present								Australia		Queensland							-27.4310573	153.5295007		-27.4310573	153.5295007			Not provided																		f74df9ad-cfaa-46a8-a5ae-7a22e2f80d63			23.2	16.2375	18.835083	136.1236	17.2	47.0	0.4039	0.89	0.95	
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		f67aad97-7598-4f62-ac03-659508286a6b			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		Queensland							-24.8663279	151.1198156		-24.8663279	151.1198156			Not provided																		f5d83a56-4c7a-4b33-96c1-a5927d1cff9c			26.885834	12.540833	25.59674	56.75679	19.4	227.0	0.2297	0.37	2.7	6.0
drt25826				Koalas										present								Australia		New South Wales							-36.1873326195473	149.350302958693		-36.1873326195473	149.350302958693			Not provided																		f5aa4129-2985-48d7-86e1-a55a650dd998			18.121666	4.5916667	25.557892	50.767757	16.9	739.0	0.4522	0.46	1.4	5.0
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		f5899578-d4d4-4f01-92e8-cc23daf4c076			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		f4ed28ba-8aec-4395-af55-88497b462c76			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		New South Wales							-30.3186111	153.1094444		-30.3186111	153.1094444			Not provided																		f47e058a-3c5c-4c9c-ba60-bbe34ac19010			23.173334	13.033334	19.628448	136.96114	16.6	31.0	0.2761	0.85	2.0	
drt25826				Koalas										present								Australia		Queensland							-25.5384947	152.7034191		-25.5384947	152.7034191			Not provided																		f3e93b14-f428-4923-bfc4-ff93087bf8f8			26.198334	15.484167	20.899994	95.89057	18.3	3.0	0.2545	0.62	1.05	4.0
